ChildChannel,Date,Duration,EpNo,ParentChannel,ProgEpisodeName,Series,SeriesNo,Source,StartTime,VersionCensorship
Darwin,1978/01/07,NULL,10,Group Network for TIS,SEA BIRDS,AROUND THE BUSH WITH VINCENT SERVENTY,100,1,17:40:00,NULL
Brisbane,1978/01/11,NULL,3,Group Network for TIS,QUEEN OF SCOTS,SIR FRANCIS DRAKE,100,1,00:00:00,NULL
Hobart,1978/01/11,NULL,11,Group Network for TIS,ENGLISH DRAGON,SIR FRANCIS DRAKE,100,1,00:00:00,NULL
Darwin,1978/01/11,NULL,3,Group Network for TIS,QUEEN OF SCOTS,SIR FRANCIS DRAKE,100,1,00:00:00,NULL
Adelaide,1978/01/14,NULL,4,Group Network for TIS,INTRUDER,BIG COUNTRY,1100,1,19:30:00,NULL
Sydney,1978/01/14,NULL,5,Group Network for TIS,BAROSSA DEUTSCHE,BIG COUNTRY,1100,1,19:30:00,NULL
Melbourne,1978/01/14,NULL,3,Group Network for TIS,DREAM OF OPAL,BIG COUNTRY,1100,1,19:30:00,NULL
Perth,1978/01/14,NULL,2,Group Network for TIS,HOW HIGH IS UP,BIG COUNTRY,1100,1,19:30:00,NULL
Hobart,1978/01/14,NULL,1,Group Network for TIS,GEE BACK RATTLER,BIG COUNTRY,1100,1,19:30:00,NULL
Brisbane,1978/01/15,NULL,1,Group Network for TIS,TASTE FOR BLUE RIBBONS,TASTE FOR BLUE RIBBONS,100,1,16:00:00,NULL
Darwin,1978/01/15,NULL,1,Group Network for TIS,TASTE FOR BLUE RIBBONS,TASTE FOR BLUE RIBBONS,100,1,16:00:00,NULL
Darwin,1978/01/16,NULL,3,Group Network for TIS,TASTE FOR BLUE RIBBONS,TASTE FOR BLUE RIBBONS,100,1,16:00:00,NULL
Brisbane,1978/01/17,NULL,5,Group Network for TIS,TASTE FOR BLUE RIBBONS,TASTE FOR BLUE RIBBONS,100,1,16:00:00,NULL
Darwin,1978/01/17,NULL,5,Group Network for TIS,TASTE FOR BLUE RIBBONS,TASTE FOR BLUE RIBBONS,100,1,16:00:00,NULL
